question,answer,source_page
I obtained my previous degree outside of Belgium. Do I need to apply before registering at KU Leuven?,"Yes. If you obtained your previous degree(s) outside of the Flemish Community (Belgium), you must go through the formal application process and be admitted before you can register for a KU Leuven programme.",apply_main
I have a secondary school diploma from the Flemish Community. Can I register directly for a bachelor's programme?,"Yes, students who obtained a secondary school diploma from an institution within the Flemish Community can register directly, provided their qualification corresponds to the required study level and no specific exceptions apply.",apply_main
Can a Flemish bachelor's degree holder register directly for a master's programme?,"Yes, generally, students with a bachelor's degree from the Flemish Community can register directly for a master's programme, provided the qualification corresponds to the required study level, unless specific exceptions (such as certain joint, Erasmus Mundus, or advanced master's programmes) apply.",apply_main
I hold a Dutch VWO diploma and want to apply for a bachelor's programme. What is the procedure?,"If you hold a Dutch VWO ('voorbereidend wetenschappelijk onderwijs') diploma, you can generally follow the same registration instructions as students with a Flemish secondary school diploma, unless you are applying for specific joint programmes.",apply_main
I have a Dutch VWO diploma and want to apply for the Bachelor of European Studies. Can I register directly?,"No. If you wish to register for the Bachelor of European Studies, you must submit a formal application for admission, even if you hold a Dutch VWO diploma, because it is a joint programme assessed by the organising consortium.",apply_main
Does a Dutch VWO diploma holder need to submit a formal application for the Bachelor of Business Engineering joint degree with UC Louvain?,"Yes. Because the Bachelor of Business Engineering is a joint bachelor's degree with UC Louvain, all applicants, including Dutch VWO diploma holders, must submit a formal application for admission to be assessed by the organising consortium.",apply_main
I have a Dutch VWO diploma and want to study the Bachelor of Laws (joint degree with UC Louvain). Do I need to apply formally?,"Yes. The Bachelor of Laws joint degree with UC Louvain requires you to submit a formal application for admission, as all applications for this joint programme are assessed by the organising consortium.",apply_main
I have a Dutch diploma that is not a VWO diploma. How do I apply to KU Leuven?,All other types of Dutch diplomas (excluding the VWO diploma) require assessment. You must apply following the procedure for non-Flemish degree holders.,apply_main
Are there any joint bachelor's programmes with UC Louvain that require a formal application even for Flemish degree holders?,"Yes, the Bachelor of Business Engineering and the Bachelor of Laws are joint bachelor's degrees with UC Louvain that require a formal application for admission from all applicants, including Flemish degree holders.",apply_main
Why do joint programmes like the Bachelor of European Studies require a formal application instead of direct registration?,"These are joint programmes, meaning all applications must be formally assessed by the organising consortium rather than allowing direct registration.",apply_main
Do Flemish degree holders ever need to apply formally for Erasmus Mundus master's programmes?,"Yes, some Erasmus Mundus master's programmes require holders of a Flemish diploma to submit a formal application for admission. You should consult the specific programme's admission requirements.",apply_main
Do advanced master's programmes require Flemish degree holders to submit an application?,"Yes, some advanced master's programmes require holders of a Flemish diploma to submit an application for admission. You must check the specific admission requirements of your chosen programme.",apply_main
How can I find out if my chosen advanced master's or Erasmus Mundus programme requires an application if I have a Flemish degree?,You must always consult the specific admission requirements of the programme you are interested in to determine whether you need to apply for admission and how to submit your application file.,apply_main
What is the Flemish Learning and Experience Database (LED) used for in the registration process?,"The LED is used to verify Flemish diplomas. If your diploma can be verified through this database, you can proceed with registration; otherwise, a separate verification is needed.",apply_main
What happens if my Flemish diploma cannot be verified through the Flemish Learning and Experience Database (LED)?,"If your Flemish diploma was issued by an institution whose degrees cannot be verified via the LED, you must submit a formal application for admission so a separate verification procedure can be conducted.",apply_main
How do I know if my Flemish diploma requires a separate verification procedure?,"If your diploma-issuing institution is listed as one that cannot be verified via the Flemish Learning and Experience Database (LED), you must submit a formal application for admission.",apply_main
